source,title,status,airDate,description,link
"Pave","Ditching Spreadsheets for Pave’s Compensation Planning: A Fireside Chat with Revolution Medicines","On Demand","March 26, 2024","joined the Revolution Medicines Total Rewards team, she was immediately focused on setting up the right systems to support scale.","https://explore.pave.com/ditching-spreadsheets-for-paves-compensation-planning-a-fireside-chat-with-revolution-medicines"
"Pave","Strategies to Build Trust in Compensation Cycles","On Demand","February 28, 2024","In this webinar, Natan Lee-Engel, Implementations Lead, and Robert Friedland, Head of Sales Engineering, from Pave share what it takes to drive buy-in and build confidence in compensation cycles at every angle.","https://explore.pave.com/strategies-to-build-trust-in-compensation-cycles"
"Pave","Connecting Performance and Compensation: How to Have an Effective Conversation","On Demand","November 15, 2023","In this webinar, we sit down with leaders from Culture Amp and Pave to discuss managing effective compensation and performance conversations.","https://explore.pave.com/connecting-performance-and-compensation-how-to-have-an-effective-conversation"
"Pave","Product Tour: Compensation Planner","On Demand","November 1, 2023","With inflation, leaner teams, and tighter budgets, there’s a lot at stake this merit cycle. Getting employees aligned on compensation decisions will be more important than ever. Run a seamless, data-driven merit cycle with Pave’s compensation planning and management platform.","https://explore.pave.com/product-tour-compensation-planner"
"Pave","Product Tour: Advanced Equity","On Demand","October 4, 2023","Confidently manage your equity program with relevant, real-time benchmarks from Pave. Advanced Equity gives you insight into your peers’ equity practices and market changes so you can distribute equity in a way that’s competitive and responsible.","https://explore.pave.com/product-tour-advanced-equity"
"Pave","How to Navigate Today’s 3 Big Compensation Challenges","On Demand","September 27, 2023","Learn how to navigate these challenges from Angela Rao, Director of Total Rewards at Drata, Rahim Bhayani, Field Compensation Advisory at Elastic, Renee Gardner, VP of Global Compensation at Snowflake, and Matt Schulman, CEO of Pave.","https://explore.pave.com/how-to-navigate-todays-3-big-compensation-challenges"
"Pave","How CFOs and CPOs Collaborate: Setting and Managing Your Compensation Budget","On Demand","July 13, 2023","One of the most important but difficult parts of building your People strategy is determining the right budget. You need to consider a range of factors including your compensation philosophy, your company goals, and the happiness of your employees. You’ll also need to factor in your planned promotions, hiring plan, and standard merit increases for strong performers. Spend too much and you’ll be hearing from your board or investors. Spend too little and you’ll have a retention issue. You need to strike the perfect balance. As People and Finance Leaders, it’s your responsibility to come to the table with a proposal that drives the best outcomes.","https://explore.pave.com/how-cfos-and-cpos-collaborate-setting-and-managing-your-compensation-budget"
"Pave","Equity in a Down Market","On Demand","June 6, 2023","In a down market, there are new realities that People and Finance Leaders face when it comes to equity. First, you have to determine your plan in the very likely scenario that your equity value has changed over the past year or will change with an upcoming fundraise. Second, you also need to consider how to communicate equity changes to your employees. Determining when to share and how much to share will be essential in keeping your workforce confident with their total rewards packages and the company’s future. There’s a lot at stake – so we’ve brought in some equity experts to provide some tactical advice and answer your questions.","https://explore.pave.com/equity-in-a-down-market"
"Pave","Navigating Comp and Performance in the New Transparency-first World","On Demand","May 4, 2023","In this webinar, we’ll sit down with Alexis Merritt, VP of People at Pave and Thaddeus Rada-Bayne, Senior People Scientist at Culture Amp to discuss compensation and performance conversations in today’s increasingly transparent world.","https://explore.pave.com/navigating-comp-and-performance-in-the-new-transparency-first-world"
"Pave","How to Build Compensation Bands Using Real-Time Market Data","On Demand","March 15, 2023","In this session, we’ll explain how salary bands should work, then show you how to pull in the right market data and use it to build salary bands for your entire team.","https://explore.pave.com/how-to-build-salary-bands-using-real-time-market-data"
"WorldAtWork","Compensation Tech Demo Day","Upcoming","2026-02-10","Demo Day","https://worldatwork.org/product/redirect/a2WRj000004XI2HMAW"
"WorldAtWork","Excel Case Study: Using Excel Tools and Formulas to Build a Dynamic Merit Matrix","Upcoming","2026-02-24","Workshop","https://worldatwork.org/product/redirect/a2WRj000004YB6nMAG"
"WorldAtWork","Building a Fair and Compliant Global Compensation Strategy","Upcoming","2026-02-25","Sponsor Delivered","https://worldatwork.org/product/redirect/a2WRj000004duKzMAI"
"WorldAtWork","Incentive Compensation Maturity: How Leading Organizations Build Trust, Alignment, and Improvement Over Time","Upcoming","2026-03-31","Sponsor Delivered","https://worldatwork.org/product/redirect/a2WRj000004gN17MAE"
"WorldAtWork","Leveraging Centers of Excellence to Manage the High Costs of Cancer","Upcoming","2026-04-14","Sponsor Delivered","https://worldatwork.org/product/redirect/a2WRj000004gMMoMAM"
"WorldAtWork","Beyond Performance: How ""Impact"" Drives Compensation Resource Allocation","Upcoming","2026-04-28","Exclusive • Members Only","https://worldatwork.org/product/redirect/a2WRj000004XLGHMA4"
"WorldAtWork","Pay Strategies for Future Focused Roles","On Demand",,"On Demand Until: January 27, 2027 • Exclusive • Members Only","https://worldatwork.org/product/redirect/a2WRj000004E0CLMA0"
"WorldAtWork","From Research to Results: How Positive Psychology and Intrinsic Motivation Drive Performance at Scale","On Demand",,"On Demand Until: January 20, 2027 • Featured","https://worldatwork.org/product/redirect/a2WRj000004ANU5MAO"
"WorldAtWork","HR@TR Preview: How HR Leaders Earn Trust and Drive Executive Conversations","On Demand",,"On Demand Until: January 07, 2027 • Featured","https://worldatwork.org/product/redirect/a2WRj000004dTr3MAE"
"WorldAtWork","December Membership Orientation","On Demand",,"On Demand Until: June 17, 2026","https://worldatwork.org/product/redirect/a2WRj0000040MELMA2"
"WorldAtWork","Pay Perception: The Missing Link in Your Compensation Strategy","On Demand",,"On Demand Until: May 18, 2026 • Exclusive • Members Only","https://worldatwork.org/product/redirect/a2WRj000003J9FZMA0"
"WorldAtWork","Countdown to Compliance: Preparing Compensation and Benefits for the EU Pay Transparency Directive","On Demand",,"On Demand Until: May 11, 2026 • Featured","https://worldatwork.org/product/redirect/a2WRj000003oFJtMAM"
"Syndio","Countdown to the EU Directive: Transposition Trends and Preparing for the Right to Information","On Demand","June 25, 2025",,"https://synd.io/countdown-to-the-eu-directive-webinar-recording/"
"Syndio","Fireside Chat with Samira Rafaela, Co-Architect of the EU Pay Transparency Directive","On Demand","April 29, 2025",,"https://synd.io/fireside-chat-with-samira-rafaela-recording/"
"Syndio","Ask Us Anything: Understanding the Impact of the U.S. Executive Orders on Pay Equity","On Demand","March 19, 2025",,"https://synd.io/understanding-the-impact-of-the-us-executive-orders-on-pay-equity-recording/"
"Syndio","Driving a Global Compliance Strategy in a Shifting Landscape","On Demand","February 26, 2025",,"https://synd.io/driving-global-pay-equity-and-pay-gap-reporting-recording/"
"Syndio","The Future of Compensation: Scaling Pay Equity and Transparency with CompTech","On Demand","December 11, 2024",,"https://synd.io/scaling-pay-equity-and-transparency-with-comptech-recording/"
"Syndio","New President, New Pay Equity & Reporting Requirements?","On Demand","November 20, 2024",,"https://synd.io/new-president-new-pay-equity-and-reporting-requirements-recording/"
"Syndio","Keep Up with the EU Pay Transparency Directive: Updates, Market Insights, & Global Compliance Strategies","On Demand","October 16, 2024",,"https://synd.io/eu-pay-transparency-directive-updates-recording/"
"Syndio","How global employers approach pay transparency","On Demand",,,"https://synd.io/how-global-employers-approach-pay-transparency-recording/"
"Syndio","Decoding the Unadjusted Pay Gap","On Demand","April 18, 2024",,"https://synd.io/unadjusted-gender-pay-gap-calculation-recording/"
"Syndio","Tried & True Best Practices for Global Pay Reporting","On Demand","February 21, 2024",,"https://synd.io/global-pay-data-report-best-practices-recording/"
"Syndio","Mapping the Gaps: Get Ahead of Pay and Opportunity Reporting","On Demand","January 25, 2024",,"https://synd.io/mapping-opportunity-gap-pay-gap-recording/"
"Syndio","Key Factors for Effective 2024 Total Rewards Planning","On Demand","December 14, 2023",,"https://synd.io/planning-for-total-rewards-in-2024-recording/"
